index,title,original_language,release_date,popularity,vote_average,vote_count
940,I Am Legend,en,12-12-2007,51.558,7.2,14553
941,Last Seen Alive,en,19-05-2022,51.547,6.5,760
942,Emmanuelle,fr,25-06-1974,51.48,6,672
943,Ponyo,ja,19-07-2008,51.448,7.7,3731
944,Monster Hunter,en,03-12-2020,51.441,6.6,2988
945,Rambo: First Blood Part II,en,21-05-1985,51.439,6.6,3458
946,Megalodon: The Monster Shark Lives,en,04-08-2013,51.341,5.4,9
947,Polite Society,en,27-04-2023,51.318,6.6,76
948,Eagle Eye,en,25-09-2008,51.306,6.4,2602
949,Room in Rome,es,07-05-2010,51.292,6.4,604
950,Alien: Covenant,en,09-05-2017,51.239,6.1,7743
951,Emanuelle and the White Slave Trade,it,20-04-1978,51.216,4.6,33
952,Rain Town,ja,02-03-2011,51.166,6.6,28
953,Megamind,en,28-10-2010,51.163,7,6227
954,Untold: Jake Paul the Problem Child,en,01-08-2023,51.123,6,17
955,Home for Rent,th,06-04-2023,51.11,7.2,18
956,Dracula,en,12-02-1931,51.103,7.2,1034
957,How the Grinch Stole Christmas,en,15-11-2000,51.063,6.7,6631
958,Ninja Assassin,en,29-09-2009,51.012,6.6,1349
959,How to Train Your Dragon 2,en,05-06-2014,51.001,7.7,8855
960,Secret of the Wings,en,17-08-2012,50.974,7.2,1098
961,Wrong Turn 2: Dead End,en,25-08-2007,50.965,6,1209
962,Erotic Tutoring,ko,20-12-2016,50.95,5.4,9
963,Big Momma's House 2,en,26-01-2006,50.947,5.7,1452
964,Rise of the Planet of the Apes,en,03-08-2011,50.935,7.3,10721
965,Terminator 3: Rise of the Machines,en,02-07-2003,50.917,6.1,6023
966,Journey 2: The Mysterious Island,en,19-01-2012,50.89,6.1,3903
967,The Martian,en,30-09-2015,50.878,7.7,18387
968,Public Enemies,en,01-07-2009,50.871,6.7,4086
969,Indiana Jones and the Kingdom of the Crystal Skull,en,21-05-2008,50.808,6,7512
970,Tenet,en,22-08-2020,50.739,7.2,8575
971,Young Aunt,ko,31-05-2018,50.709,4.7,3
972,Final Destination,en,17-03-2000,50.672,6.6,5010
973,Good Mother 3,ko,26-08-2019,50.666,4.1,5
974,Space Jam: A New Legacy,en,08-07-2021,50.651,6.8,3695
975,Bumblebee,en,15-12-2018,50.625,6.7,5582
976,Mom's Friend,ko,20-08-2015,50.619,6.6,8
977,"Tad, the Lost Explorer and the Emerald Tablet",es,24-08-2022,50.564,7.7,252
978,Chicken Run,en,23-06-2000,50.527,6.8,4450
979,Lionheart,en,07-06-1990,50.476,6.5,916
980,Disenchanted,en,18-11-2022,50.465,6.9,883
981,The Penitent Thief,en,25-02-2021,50.452,6.1,21
982,Dragon Ball Z: Battle of Gods,ja,30-03-2013,50.363,6.8,1378
983,Don't Worry Darling,en,21-09-2022,50.362,6.8,1831
984,Kung Fu Panda 3,en,23-01-2016,50.353,6.9,5269
985,The Forever Purge,en,30-06-2021,50.349,7,2176
986,Ferdinand,en,09-12-2017,50.338,7.2,2623
987,Rio,en,03-04-2011,50.328,6.7,6130
988,One Week Friends,zh,18-06-2022,50.299,5.7,108
989,Blue Lagoon: The Awakening,en,16-06-2012,50.269,6.5,1301
990,Spider-Man: Beyond the Spider-Verse,en,,50.239,0,0
991,American Pie Presents: Girls' Rules,en,06-10-2020,50.236,6.2,542
992,"Good Luck to You, Leo Grande",en,16-06-2022,50.232,6.9,325
993,King Kong,en,12-12-2005,50.171,6.9,7229
994,Erotic Ghost Story,cn,19-05-1990,50.136,6.1,40
995,The Park,en,02-03-2023,50.124,6,49
996,Barbie as The Princess & the Pauper,en,28-09-2004,50.088,7.5,1344
997,Edward Scissorhands,en,05-12-1990,50.085,7.7,11948
998,Saint Seiya: Warriors of the Final Holy Battle,ja,18-03-1989,50.054,7.3,182
999,Addams Family Values,en,19-11-1993,50.052,6.9,2674
1000,Dolphin Boy,ru,07-04-2022,50.039,6.4,61
1001,Alienoid,ko,20-07-2022,50.019,7.2,154
1002,Batman: The Doom That Came to Gotham,en,10-03-2023,50.012,6.7,134
1003,Barbie Presents: Thumbelina,en,24-02-2009,49.994,6.6,437
1004,Mulan,en,04-09-2020,49.907,6.9,6235
1005,Creed II,en,21-11-2018,49.899,7,4948
1006,Brother Bear,en,23-10-2003,49.842,7.3,4953
1007,Splatter: Naked Blood,ja,20-02-1996,49.835,5.9,57
1008,Divergent,en,14-03-2014,49.803,6.9,12062
1009,Call Me by Your Name,en,01-09-2017,49.784,8.2,11286
1010,Tainted Soul,id,13-10-2022,49.773,4.8,3
1011,X-Men: Days of Future Past,en,15-05-2014,49.759,7.5,14340
1012,Stand by Me Doraemon 2,ja,20-11-2020,49.715,7.7,161
1013,Star Wars: The Force Awakens,en,15-12-2015,49.69,7.3,18250
1014,Descendants,en,31-07-2015,49.673,7.1,2138
1015,Edge of Tomorrow,en,27-05-2014,49.667,7.6,12724
1016,Hitman: Agent 47,en,20-08-2015,49.595,5.8,2792
1017,What Men Want,en,08-02-2019,49.562,6.2,1286
1018,The Chronicles of Narnia: Prince Caspian,en,15-05-2008,49.562,6.6,5863
1019,Maleficent: Mistress of Evil,en,16-10-2019,49.557,7.3,5654
1020,Superman,en,13-12-1978,49.528,7.1,3426
1021,Get Out,en,24-02-2017,49.521,7.6,15922
1022,Batman,en,23-06-1989,49.454,7.2,7078
1023,Saint Seiya: Legend of Crimson Youth,ja,23-07-1988,49.403,7.6,167
1024,Legend Quest: The Origin,es,15-02-2021,49.39,8.3,226
1025,Purple Hearts,en,29-07-2022,49.362,8.2,2061
1026,The Passion of the Christ,en,25-02-2004,49.351,7.5,3977
1027,Sex Tape,en,17-07-2014,49.285,5.4,3849
1028,Matilda,en,02-08-1996,49.28,7.1,3985
1029,A Deadly Mistake,en,23-01-2023,49.236,6.1,19
1030,Legally Blonde,en,13-07-2001,49.216,6.7,3572
1031,Saw V,en,23-10-2008,49.21,6.2,3049
1032,The Hunger Games: Catching Fire,en,15-11-2013,49.168,7.4,16063
1033,Wrong Turn,en,26-01-2021,49.156,6,942
1034,Ford v Ferrari,en,13-11-2019,49.144,8,6821
1035,Kraven the Hunter,en,29-08-2024,49.098,0,0
1036,Exodus: Gods and Kings,en,03-12-2014,49.079,5.8,4215
1037,Sex Plate 17,ko,13-11-2017,49.039,5.9,7
1038,Hell of Roses,ja,05-12-1980,49.031,4,4
1039,The Predator,en,05-09-2018,49.026,5.6,4229
1040,Sex Plate 17,ko,13-11-2017,49.039,5.9,7
1041,Hell of Roses,ja,05-12-1980,49.031,4,4
1042,The Predator,en,05-09-2018,49.026,5.6,4229
1043,Bound by Honor,en,05-02-1993,48.95,8.1,1125
1044,The Secret Life of Pets 2,en,24-05-2019,48.932,7,2764
1045,Triangle of Sadness,en,18-09-2022,48.924,7.1,1535
1046,The Gay Agenda 22,en,06-04-2023,48.912,0,0
1047,Marvel Rising: Chasing Ghosts,en,16-01-2019,48.866,7,41
1048,Hercules,en,23-07-2014,48.838,5.8,3789
1049,Jack Reacher,en,20-12-2012,48.819,6.6,6417
1050,The Devil Wears Prada,en,29-06-2006,48.812,7.4,10975
1051,GoldenEye,en,16-11-1995,48.811,6.9,3497
1052,Peter Rabbit 2: The Runaway,en,25-03-2021,48.808,7.2,699
1053,Missing,en,19-01-2023,48.799,7.6,604
1054,Young Mother 4,ko,28-04-2016,48.737,4.3,4
1055,Chernobyl: Abyss,ru,15-04-2021,48.701,6.2,441
1056,Diary of a Fleeting Affair,fr,14-09-2022,48.656,6.6,100
1057,Troy,en,03-05-2004,48.591,7.1,9294
1058,Ryoma! The Prince of Tennis,ja,11-11-2021,48.57,5.3,7
1059,American Pie Presents: Beta House,en,26-12-2007,48.559,5.6,1733
1060,The Temptation of Kimono,ja,27-03-2009,47.193,5.7,10
1061,Legally Blonde,en,13-07-2001,49.216,6.7,3572
1062,Saw V,en,23-10-2008,49.21,6.2,3049
1063,The Hunger Games: Catching Fire,en,15-11-2013,49.168,7.4,16063
1064,Wrong Turn,en,26-01-2021,49.156,6,942
1065,Ford v Ferrari,en,13-11-2019,49.144,8,6821
1066,Kraven the Hunter,en,29-08-2024,49.098,0,0
1067,Exodus: Gods and Kings,en,03-12-2014,49.079,5.8,4215
1068,Hotel Transylvania 3: Summer Vacation,en,28-06-2018,48.368,6.9,4014
1069,Sex Plate 17,ko,13-11-2017,49.039,5.9,7
1070,The Predator,en,05-09-2018,49.026,5.6,4229
1071,The Demon Wet Nurse,zh,12-03-1992,55.88,7,1
1072,Bound by Honor,en,05-02-1993,48.95,8.1,1125
1073,Triangle of Sadness,en,18-09-2022,48.924,7.1,1535
1074,The Gay Agenda 22,en,06-04-2023,48.912,0,0
1075,Vesper,en,17-08-2022,30.835,6.4,387
1076,Marvel Rising: Chasing Ghosts,en,16-01-2019,48.866,7,41
1077,Alita: Battle Angel,en,31-01-2019,51.739,7.2,8379
1078,Jack Reacher,en,20-12-2012,48.819,6.6,6417
1079,Star Wars: The Rise of Skywalker,en,18-12-2019,52.035,6.4,8959
1080,The Requin,en,28-01-2022,47.832,5,296
1081,Coach Carter,en,14-01-2005,47.826,7.6,2584
1082,Greenland,en,29-07-2020,47.814,7.1,3957
1083,Ferris Bueller's Day Off,en,11-06-1986,47.771,7.6,4423
1084,Life in a Year,en,27-11-2020,47.747,8.3,1525
1085,The Departed,en,04-10-2006,47.734,8.2,13671
1086,Peter Pan,en,05-02-1953,47.702,7.2,4955
1087,Wrong Turn 5: Bloodlines,en,23-10-2012,47.647,5.4,828
1088,Léon: The Professional,en,14-09-1994,47.621,8.3,13518
1089,Erotic Tutoring,ko,20-12-2016,50.95,5.4,9
1090,Three Swedish Girls in Upper Bavaria,de,07-10-1977,47.586,5.3,5
1091,Secret Headquarters,en,12-08-2022,47.553,6.6,284
1092,Enola Holmes 2,en,04-11-2022,47.544,7.6,2114
1093,Titane,fr,14-07-2021,47.497,6.4,1166
1094,Maneater,en,26-08-2022,47.463,4.6,58
1095,Barbie: Skipper and the Big Babysitting Adventure,en,03-03-2023,47.407,7.2,36
1096,Cinderella II: Dreams Come True,en,23-02-2002,47.373,6.1,1318
1097,Army of Thieves,en,27-10-2021,42.819,6.9,1731
1098,Halloween Kills,en,14-10-2021,47.259,6.5,2331
1099,Crawlspace,en,31-03-2022,47.215,6.2,95
1100,A Silent Voice: The Movie,ja,17-09-2016,47.168,8.4,3506
1101,Friday the 13th,en,09-05-1980,47.167,6.4,2558
1102,Mortal Kombat,en,07-04-2021,47.155,7.1,5373
1103,Evil Eye,es,22-09-2022,47.142,6.8,210
1104,Braveheart,en,24-05-1995,47.121,7.9,9252
1105,The Contractor,en,10-03-2022,47.086,6.4,731
1106,Love and Monsters,en,16-10-2020,47.08,7.3,3598
1107,The Adam Project,en,11-03-2022,47.067,7.1,3732
1108,Baby Driver,en,28-06-2017,47.026,7.5,14521
1109,The Amazing Maurice,en,16-12-2022,46.948,6.9,104
1110,La La Land,en,29-11-2016,46.912,7.9,15496
1111,Law Abiding Citizen,en,15-10-2009,46.871,7.4,4584
1112,I Want You,es,22-06-2012,46.847,7.4,1716
1113,13 Hours: The Secret Soldiers of Benghazi,en,14-01-2016,46.819,7.3,3177
1114,The Resurrection of Charles Manson,en,16-03-2023,46.78,3.9,12
1115,Seoul Vibe,ko,26-08-2022,46.757,6.7,135
1116,The Jungle Book,en,07-04-2016,46.729,6.9,7612
1117,TRON: Legacy,en,14-12-2010,46.718,6.5,6591
1118,Saw VI,en,16-10-2009,46.686,6.3,2777
1119,Glass,en,16-01-2019,46.665,6.7,7722
1120,Beauty Salon: Special Service 2,ko,13-02-2018,46.618,7.6,5
1121,Gods of Egypt,en,25-02-2016,46.603,5.6,3789
1122,Shaolin Soccer,cn,05-07-2001,46.6,7.1,1957
1123,Tetris,en,15-03-2023,46.572,7.8,814
1124,Guardians of the Galaxy,en,30-07-2014,46.54,7.9,26482
1125,Star Trek,en,06-05-2009,46.529,7.4,9251
1126,Hollow Man,en,04-08-2000,46.525,5.9,2280
1127,The Pilgrim's Progress,en,18-04-2019,46.511,7.6,84
1128,Airplane II: The Sequel,en,10-12-1982,46.482,6.1,958
1129,Lucy,en,25-07-2014,46.426,6.4,15080
1130,American Pie,en,09-07-1999,46.425,6.6,7067
1131,Candy Land,en,06-01-2023,46.404,6.3,82
1132,American Psycho,en,13-04-2000,46.403,7.4,9632
1133,The Truman Show,en,04-06-1998,46.4,8.1,16628
1134,Tinker Bell and the Legend of the NeverBeast,en,12-12-2014,46.373,7.3,940
1135,Meet Joe Black,en,12-11-1998,46.357,7.3,4546
1136,The First Purge,en,04-07-2018,46.311,6,3637
1137,The Last: Naruto the Movie,ja,06-12-2014,46.284,7.8,1699
1138,Teenage Mutant Ninja Turtles III,en,17-03-1993,46.244,5.3,706
1139,First Man,en,10-10-2018,46.187,7,4847
1140,Abraham Lincoln: Vampire Hunter,en,20-06-2012,46.17,5.7,3062
1141,Halloween,en,24-10-1978,46.071,7.6,4919
1142,Hellraiser,en,28-09-2022,46.024,6.3,585
1143,The Addams Family,en,22-11-1991,46.019,7,4104
1144,The Girl Next Door,en,09-04-2004,46.004,6.7,3148
1145,Saint Seiya: Evil Goddess Eris,ja,18-07-1987,45.999,7.1,185
1146,Barbie in The 12 Dancing Princesses,en,19-09-2006,45.953,7.7,1020
1147,P.O. Box Tinto Brass,it,30-08-1995,45.915,5.6,80
1148,Wrong Turn,en,30-05-2003,45.899,6.3,2371
1149,Strange World,en,23-11-2022,45.859,6.4,1031
1150,300: Rise of an Empire,en,05-03-2014,45.814,6.1,6011
1151,From Straight A's to XXX,en,11-02-2017,45.804,6,112
1152,Good Will Hunting,en,05-12-1997,45.79,8.1,10987
1153,Eternal Sunshine of the Spotless Mind,en,19-03-2004,45.764,8.1,13572
1154,Alvin and the Chipmunks,en,13-12-2007,45.688,5.8,4092
1155,Palmer,en,29-01-2021,45.674,8.1,1239
1156,The Evil Dead,en,10-09-1981,45.66,7.3,3516
1157,The Lover,fr,22-01-1992,45.648,7,573
1158,One Hundred and One Dalmatians,en,25-01-1961,45.64,7.2,5765
1159,Five Feet Apart,en,14-03-2019,45.619,8.3,5220
1160,H.P. Lovecraft's Witch House,en,29-06-2022,45.614,5,20
1161,Barbie: Princess Charm School,en,11-08-2011,45.599,7.4,702
1162,Emily the Criminal,en,12-08-2022,45.596,6.8,577
1163,Hotel Transylvania,en,20-09-2012,45.531,7,7982
1164,Friday,en,26-04-1995,45.496,7.1,1566
1165,Descendants 3,en,02-08-2019,45.448,7.8,1365
1166,Yu Pui Tsuen,cn,12-12-1986,45.436,4,4
1167,Confessions of a Frustrated Housewife,it,04-08-1976,45.42,6.3,3
1168,Kill Boksoon,ko,17-02-2023,45.39,6.9,299
1169,G.I. Joe: The Rise of Cobra,en,03-08-2009,45.387,5.8,4280
1170,Dragon Ball Z: The World's Strongest,ja,10-03-1990,45.385,6.5,425
1171,A Star Is Born,en,03-10-2018,45.383,7.5,10997
1172,Bohemian Rhapsody,en,24-10-2018,45.31,8,15856
1173,The Autopsy of Jane Doe,en,21-12-2016,45.251,6.8,3770
1174,Rush Hour,en,18-09-1998,45.233,7,4293
1175,Captain America: The First Avenger,en,22-07-2011,45.22,7,20142
1176,Scream 2,en,12-12-1997,45.178,6.5,3616
1177,National Lampoon's Vacation,en,28-07-1983,45.167,7.1,1361
1178,Legend,en,09-09-2015,45.166,7,3505
1179,A Bronx Tale,en,14-09-1993,45.122,7.8,2103
1180,The Soccer Football Movie,en,09-11-2022,45.118,6,96
1181,Ambulance,en,16-03-2022,45.102,6.7,1667
1182,Aquaman,en,07-12-2018,45.101,6.9,12866
1183,The Unholy,en,31-03-2021,45.085,6.7,1921
1184,Sweet Sex,ko,06-07-2017,45.022,6.4,5
1185,"The Gangster, the Cop, the Devil",ko,15-05-2019,45,7.7,793
1186,John Carter,en,07-03-2012,44.926,6.3,5182
1187,Nun in Rope Hell,ja,25-05-1984,44.925,5.9,9
1188,The Magnificent Seven,en,12-10-1960,44.911,7.5,1565
1189,The Aristocats,en,24-12-1970,44.898,7.3,4614
1190,The Social Network,en,01-10-2010,44.888,7.4,11084
1191,Young Mom 2,ko,22-03-2019,44.848,1,1
1192,Independence Day: Resurgence,en,22-06-2016,44.757,5.3,5629
1193,Pearl,en,16-09-2022,44.745,7.3,912
1194,Oldboy,ko,21-11-2003,44.742,8.3,7675
1195,Unknown: Cosmic Time Machine,en,24-07-2023,44.709,7.9,27
1196,The Menu,en,17-11-2022,44.653,7.2,3499
1197,One Flew Over the Cuckoo's Nest,en,19-11-1975,44.564,8.4,9545
1198,Pinocchio,en,07-09-2022,44.561,6.4,1407
1199,Survival Island,en,05-05-2006,44.558,5.3,207
1200,Horseplay,es,01-06-2023,39.857,10,1
1201,Descendants 3,en,02-08-2019,45.448,7.8,1365
1202,Yu Pui Tsuen,cn,12-12-1986,45.436,4,4
1203,Confessions of a Frustrated Housewife,it,04-08-1976,45.42,6.3,3
1204,Kill Boksoon,ko,17-02-2023,45.39,6.9,299
1205,G.I. Joe: The Rise of Cobra,en,03-08-2009,45.387,5.8,4280
1206,Dragon Ball Z: The World's Strongest,ja,10-03-1990,45.385,6.5,425
1207,A Star Is Born,en,03-10-2018,45.383,7.5,10997
1208,Bohemian Rhapsody,en,24-10-2018,45.31,8,15856
1209,The Autopsy of Jane Doe,en,21-12-2016,45.251,6.8,3770
1210,Rush Hour,en,18-09-1998,45.233,7,4293
1211,Captain America: The First Avenger,en,22-07-2011,45.22,7,20142
1212,Scream 2,en,12-12-1997,45.178,6.5,3616
1213,National Lampoon's Vacation,en,28-07-1983,45.167,7.1,1361
1214,Legend,en,09-09-2015,45.166,7,3505
1215,A Bronx Tale,en,14-09-1993,45.122,7.8,2103
1216,The Soccer Football Movie,en,09-11-2022,45.118,6,96
1217,Chip 'n Dale: Rescue Rangers,en,20-05-2022,41.758,7,1057
1218,Aquaman,en,07-12-2018,45.101,6.9,12866
1219,Inside Christopher Nolan's Oppenheimer,en,15-07-2023,36.153,3,1
1220,Hotel Transylvania,en,20-09-2012,45.531,7,7982
1221,Friday,en,26-04-1995,45.496,7.1,1566
1222,Horseplay,es,01-06-2023,39.857,10,1
1223,Descendants 3,en,02-08-2019,45.448,7.8,1365
1224,Yu Pui Tsuen,cn,12-12-1986,45.436,4,4
1225,Confessions of a Frustrated Housewife,it,04-08-1976,45.42,6.3,3
1226,Kill Boksoon,ko,17-02-2023,45.39,6.9,299
1227,G.I. Joe: The Rise of Cobra,en,03-08-2009,45.387,5.8,4280
1228,Dragon Ball Z: The World's Strongest,ja,10-03-1990,45.385,6.5,425
1229,A Star Is Born,en,03-10-2018,45.383,7.5,10997
1230,Bohemian Rhapsody,en,24-10-2018,45.31,8,15856
1231,Tinker Bell and the Pirate Fairy,en,13-02-2014,43.049,6.9,895
1232,Rush Hour,en,18-09-1998,45.233,7,4293
1233,Captain America: The First Avenger,en,22-07-2011,45.22,7,20142
1234,Rio 2,en,19-03-2014,37.186,6.5,3165
1235,Scream 2,en,12-12-1997,45.178,6.5,3616
1236,National Lampoon's Vacation,en,28-07-1983,45.167,7.1,1361
1237,Legend,en,09-09-2015,45.166,7,3505
1238,A Bronx Tale,en,14-09-1993,45.122,7.8,2103
1239,The Soccer Football Movie,en,09-11-2022,45.118,6,96
1240,Chip 'n Dale: Rescue Rangers,en,20-05-2022,41.758,7,1057
1241,Aquaman,en,07-12-2018,45.101,6.9,12866
1242,Inside Christopher Nolan's Oppenheimer,en,15-07-2023,36.153,3,1
1243,The Unholy,en,31-03-2021,45.085,6.7,1921
1244,Sweet Sex,ko,06-07-2017,45.022,6.4,5
1245,John Carter,en,07-03-2012,44.926,6.3,5182
1246,The Magnificent Seven,en,12-10-1960,44.911,7.5,1565
1247,The Aristocats,en,24-12-1970,44.898,7.3,4614
1248,The Social Network,en,01-10-2010,44.888,7.4,11084
1249,Lou,en,23-09-2022,43.523,6.6,551
1250,Independence Day: Resurgence,en,22-06-2016,44.757,5.3,5629
1251,Pearl,en,16-09-2022,44.745,7.3,912
1252,Oldboy,ko,21-11-2003,44.742,8.3,7675
1253,Annabelle,en,02-10-2014,39.746,5.8,5682
1254,Night at the Museum: Secret of the Tomb,en,17-12-2014,36.189,6.2,5444
1255,Descendants 2,en,21-07-2017,34.696,7.4,1493
1256,One Flew Over the Cuckoo's Nest,en,19-11-1975,44.564,8.4,9545
1257,Pinocchio,en,07-09-2022,44.561,6.4,1407
1258,Survival Island,en,05-05-2006,44.558,5.3,207
1259,Mother's Job,ko,27-07-2017,44.542,3.8,8
1260,Homefront,en,12-11-2013,43.633,7,3177
1261,Trolls,en,13-10-2016,43.63,6.7,3280
1262,Ocean's Eleven,en,07-12-2001,43.584,7.4,10682
1263,Watchmen,en,04-03-2009,43.572,7.3,8405
1264,12 Angry Men,en,10-04-1957,43.541,8.5,7523
1265,Kiki's Delivery Service,ja,29-07-1989,43.527,7.8,3512
1266,Tutor Touching,ja,02-06-2018,43.47,0,0
1267,The Great Wall,en,16-12-2016,43.451,6,4713
1268,Boruto: Naruto the Movie,ja,07-08-2015,43.426,7.6,1298
1269,Rambo: Last Blood,en,19-09-2019,43.378,6.5,3484
1270,Don't Breathe 2,en,12-08-2021,43.378,7.2,2173
1271,G.I. Joe: Retaliation,en,27-03-2013,43.367,5.6,5180
1272,Abandoned,en,17-06-2022,43.361,6.2,230
1273,Let's Be Cops,en,13-08-2014,43.298,6.5,2571
1274,Barbie as Rapunzel,en,01-10-2002,43.244,7,1142
1275,Broker,ko,08-06-2022,43.226,7.2,298
1276,Reunion Goals: The Beginning,ko,02-02-2017,43.195,8.3,4
1277,Beauty Salon: Special Service,ko,29-12-2016,43.193,6.2,11
1278,Raped by an Angel 4: The Rapist's Union,cn,17-01-1999,39.413,6.2,7
1279,CODA,en,11-08-2021,43.165,8,1890
1280,Tinker Bell and the Pirate Fairy,en,13-02-2014,43.049,6.9,895
1281,Day Shift,en,12-08-2022,43.044,6.9,1651
1282,Ghost Rider,en,15-01-2007,43.034,5.5,5423
1283,Batman: Gotham Knight,en,08-07-2008,43.032,6.7,596
1284,Clash of the Titans,en,31-03-2010,43.018,5.9,5817
1285,Red Sparrow,en,28-02-2018,43.011,6.5,5563
1286,Full Metal Jacket,en,26-06-1987,42.988,8.1,9558
1287,The Voyeur,it,27-01-1994,42.982,5,143
1288,Fidelity,ru,31-10-2019,42.969,6.9,211
1289,Stephen Curry: Underrated,en,21-07-2023,42.962,7.2,31
1290,Bee Movie,en,28-10-2007,42.952,6,4447
1291,The Innocent,fr,12-10-2022,42.925,6.9,240
1292,Star Trek Beyond,en,07-07-2016,42.922,6.8,6174
1293,Pokémon the Movie: Secrets of the Jungle,ja,25-12-2020,42.897,7.2,145
1294,Madagascar 3: Europe's Most Wanted,en,06-06-2012,42.895,6.6,5613
1295,The House of Secrets,en,30-06-2023,42.858,4,2
1296,Knife Under the Throat,fr,18-06-1986,42.824,4.3,14
1297,Scream 4,en,11-04-2011,42.803,6.4,3243
1298,Emmanuelle 4,fr,15-02-1984,42.795,4.8,44
1299,The Price We Pay,en,13-01-2023,42.792,5.9,133
1300,Suffocated,es,23-03-2023,42.787,4.5,3
1301,Me Time,en,26-08-2022,42.725,5.9,731
1302,Scary Movie 4,en,12-04-2006,42.696,5.5,2953
1303,Final Destination 3,en,09-02-2006,42.694,6.1,3461
1304,Marvel Rising: Battle of the Bands,en,28-08-2019,42.688,6.8,41
1305,Deep Water,en,18-03-2022,42.641,5.7,1086
1306,Cherry,en,26-02-2021,42.618,7.4,1135
1307,Sleeping Beauty,en,17-02-1959,42.603,6.9,4747
1308,Ant-Man,en,14-07-2015,42.567,7.1,18621
1309,Marvel Rising: Playing with Fire,en,18-12-2019,42.562,6.6,41
1310,Kill Bill: Vol. 1,en,10-10-2003,42.549,8,16046
1311,Zandalee,en,09-05-1991,42.54,4.2,71
1312,Life of Pi,en,20-11-2012,42.525,7.4,12350
1313,Hansel & Gretel: Witch Hunters,en,17-01-2013,42.488,6,6292
1314,Need for Speed,en,12-03-2014,42.477,6.4,4012
1315,Barbie: Mermaid Power,en,14-10-2022,42.46,6.9,56
1316,Diabolik - Ginko Attacks,it,17-11-2022,42.449,6.1,353
1317,Dead Silence,en,16-03-2007,42.446,6.4,2030
1318,Predestination,en,28-08-2014,42.435,7.4,5823
1319,The Boy Who Harnessed the Wind,en,14-02-2019,42.401,7.9,1505
1320,The Boy Who Harnessed the Wind,en,14-02-2019,42.401,7.9,1505
1321,Carriers,en,04-09-2009,42.392,6.1,1280
1322,Taste 2,ko,02-09-2015,42.388,6.3,6
1323,I Spit on Your Grave,en,17-06-2010,42.378,6.5,2020
1324,The Chronicles of Narnia: The Voyage of the Dawn Treader,en,02-12-2010,42.378,6.4,5153
1325,Monsters vs Aliens,en,19-03-2009,42.371,6.2,4235
1326,Malicious,it,29-03-1973,42.37,7.2,244
1327,The Silencing,en,18-07-2020,42.352,6.5,527
1328,Twister,en,10-05-1996,42.352,6.5,2881
1329,The Boy in the Striped Pyjamas,en,07-05-2008,42.329,7.8,6477
1330,"Crazy, Stupid, Love.",en,29-07-2011,42.328,7.3,7683
1331,Death on the Nile,en,09-02-2022,42.323,6.5,2911
1332,Busty Cops: Protect and Serve!,en,01-08-2009,39.979,4.8,12
1333,The Croods,en,15-03-2013,42.311,6.9,6546
1334,The Cat in the Hat,en,21-11-2003,42.259,5.3,1494
1335,Ant-Man and the Wasp,en,04-07-2018,42.248,7,12417
1336,The Marksman,en,15-01-2021,42.246,6.9,1391
1337,Back to the Future Part II,en,22-11-1989,42.239,7.8,11708
1338,Aliens vs Predator: Requiem,en,25-12-2007,42.226,5.1,2549
1339,Beauty Rope Cosmetology,ja,02-12-1983,42.177,4.5,2
1340,The Patriot,en,28-06-2000,42.085,7.2,3505
1341,Dracula: The Original Living Vampire,en,28-01-2022,42.023,5.3,78
1342,Robots,en,10-03-2005,42.007,6.4,4168
1343,The Hunger Games: Mockingjay - Part 2,en,18-11-2015,41.996,6.9,11459
1344,There's Something Wrong with the Children,en,17-01-2023,41.983,5.8,124
1345,No Strings Attached,en,21-01-2011,41.957,6.3,4349
1346,Piranha 3D,en,20-08-2010,41.94,5.4,1983
1347,The Fly,en,15-08-1986,41.916,7.4,3896
1348,The Queen of Kung Fu 3,zh,17-07-2022,41.904,1,1
1349,Saw IV,en,24-10-2007,41.876,6.2,3295
1350,Midway,en,06-11-2019,41.873,7.1,2218
1351,Dragon Ball Z: Super Android 13!,ja,11-07-1992,41.873,6.8,476
1352,There Are No Saints,en,27-05-2022,41.809,5.2,96
1353,Midsommar,en,03-07-2019,41.796,7.2,6065
1354,Men in Black II,en,03-07-2002,41.793,6.4,9149
1355,The Roundup,ko,18-05-2022,41.782,7.2,175
1356,Detective Knight: Rogue,en,21-10-2022,41.768,6.6,117
1357,The Lion King 1½,en,06-02-2004,41.743,6.6,2750
1358,Predator 2,en,20-11-1990,41.726,6.3,2849
1359,Bird Box,en,13-12-2018,41.712,6.9,9145
1360,Malignant,en,01-09-2021,41.705,6.8,1960
1361,Finch,en,04-11-2021,41.646,8,3024
1362,Clock,en,28-03-2023,41.635,5.8,125
1363,Paranormal Activity: Next of Kin,en,29-10-2021,38.972,6.1,560
1364,Adipurush,hi,16-06-2023,41.603,4.8,14
1365,Rush Hour 2,en,03-08-2001,41.59,6.7,3630
1366,A Dog's Journey,en,03-05-2019,41.589,8,1338
1367,Freddy vs. Jason,en,15-08-2003,41.574,6,2284
1368,Chinese Grandma,ru,26-08-2010,41.552,3.9,7
1369,Cujo,en,10-08-1983,41.531,6.1,878
1370,Bad Boys for Life,en,15-01-2020,41.51,7.1,7521
1371,Along with the Gods: The Two Worlds,ko,20-12-2017,41.509,8.1,860
1372,Incantation,zh,18-03-2022,41.485,6.9,507
